site_id,fold,model,elapsed_seconds,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,9,direct_lgbm_quantile_p50_smoke,71.4847499000025,47.58055607146909,68.94376705147037,16.599949905880326,6.264033712096864,6.539410926642023,6.9704649993328305,9.999096019067494,7.181642401194831,0.625,1.0,0.7692307692307693,0.0,2.0,0.6,3.0,1.0,20.66738841649908
1. Load Profile (With Solar Installed) SoL,9,direct_lgbm_quantile_p80_smoke,71.4847499000025,63.59197725188469,89.05860003118097,62.04112817003884,8.371955315662275,8.795913922466703,9.747295129185073,12.916403195240171,9.276937503248018,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,20.66738841649908
1. Load Profile (With Solar Installed) SoL,9,direct_lgbm_quantile_p90_smoke,71.4847499000025,223.06077968999114,257.5778593975038,223.06077968999114,29.366202482500203,26.932455246340936,33.396815403907645,37.35719498150889,26.831027020573313,0.3333333333333333,1.0,0.5,0.0,9.0,0.0,14.0,13.0,30.103684721586205
1. Load Profile (With Solar Installed) SoL,9,direct_lgbm_md_risk_smoke,71.4847499000025,47.58055607146909,68.94376705147037,16.599949905880326,6.264033712096864,6.539410926642023,6.9704649993328305,9.999096019067494,7.181642401194831,0.29411764705882354,1.0,0.45454545454545453,0.0,8.0,0.6,2.0,1.0,20.66738841649908
1. Load Profile (With Solar Installed) SoL,10,direct_lgbm_quantile_p50_smoke,76.05674699999508,44.45368624436361,68.67690533593688,34.28836476001445,5.938044580980279,6.453607692661296,6.98850711722293,10.07731552985134,7.360868739114349,0.3333333333333333,0.4,0.3636363636363636,3.0,0.0,0.4,17.0,16.0,3.0825582886491247
1. Load Profile (With Solar Installed) SoL,10,direct_lgbm_quantile_p80_smoke,76.05674699999508,64.6578993158313,89.25246582836351,63.98465628849251,8.636887535926707,9.210321588940364,10.205883128977366,13.096473342386428,9.566180688999305,0.6,0.6,0.6,2.0,0.0,0.4,17.0,6.0,0.9275591317202725
1. Load Profile (With Solar Installed) SoL,10,direct_lgbm_quantile_p90_smoke,76.05674699999508,202.28606822058433,230.9651882976273,201.94860239467585,27.021014288940968,25.295665837619868,30.835328304198274,33.890709948294536,24.755111285919323,0.26666666666666666,0.8,0.4,1.0,3.0,0.4,34.0,17.0,67.91720212008704
1. Load Profile (With Solar Installed) SoL,10,direct_lgbm_md_risk_smoke,76.05674699999508,44.45368624436361,68.67690533593688,34.28836476001445,5.938044580980279,6.453607692661296,6.98850711722293,10.07731552985134,7.360868739114349,0.3125,1.0,0.47619047619047616,0.0,3.0,0.4,16.0,16.0,3.0825582886491247
2. Load Profile (No Solar) E,9,direct_lgbm_quantile_p50_smoke,78.9274132999999,91.12602317747793,109.98657176331692,-36.06138340009055,12.399152741216488,12.427956967475646,12.013820514441637,15.097676288718862,11.528990750871793,0.0,0.0,0.0,5.0,6.0,0.0,12.0,16.0,231.0900413901844
2. Load Profile (No Solar) E,9,direct_lgbm_quantile_p80_smoke,78.9274132999999,111.4799899833344,133.18276864353066,83.89536183504497,15.168635425915047,14.84274483371297,16.562129451703335,18.281780184424253,13.960457929091266,0.0,0.0,0.0,5.0,7.0,0.0,8.0,16.0,116.00356325242205
2. Load Profile (No Solar) E,9,direct_lgbm_quantile_p90_smoke,78.9274132999999,255.67629031147416,274.2810432528174,255.67629031147416,34.78884807367622,30.384951370406554,37.22647810872721,37.65010888851303,28.750633464655916,0.10416666666666667,1.0,0.18867924528301885,0.0,33.0,0.0,17.0,16.0,36.61379031147419
2. Load Profile (No Solar) E,9,direct_lgbm_md_risk_smoke,78.9274132999999,91.12602317747793,109.98657176331692,-36.06138340009055,12.399152741216488,12.427956967475646,12.013820514441637,15.097676288718862,11.528990750871793,0.10638297872340426,1.0,0.1923076923076923,0.0,32.0,0.0,17.0,16.0,231.0900413901844
2. Load Profile (No Solar) E,10,direct_lgbm_quantile_p50_smoke,77.34029650001321,80.47733556392804,98.76644595084416,-0.22164976401217018,11.349822556393553,11.324814511080326,11.484390357722436,14.149920623330107,10.735483255526539,0.19047619047619047,0.8,0.3076923076923077,1.0,13.0,0.6,1.0,0.0,210.8591695748795
2. Load Profile (No Solar) E,10,direct_lgbm_quantile_p80_smoke,77.34029650001321,111.33084795928733,129.17853682134546,88.0232036562197,15.701133251199623,15.346560856628159,17.121462395780227,18.50695369933316,14.041145306667985,0.1875,0.6,0.2857142857142857,2.0,11.0,0.4,30.0,3.0,112.233896537531
2. Load Profile (No Solar) E,10,direct_lgbm_quantile_p90_smoke,77.34029650001321,280.6365989772846,297.5392146915886,280.6365989772846,39.578541944791134,33.819683035443774,42.277251743857754,42.62739465495539,32.341218988216156,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.2,14.0,13.0,69.69909897728462
2. Load Profile (No Solar) E,10,direct_lgbm_md_risk_smoke,77.34029650001321,80.47733556392804,98.76644595084416,-0.22164976401217018,11.349822556393553,11.324814511080326,11.484390357722436,14.149920623330107,10.735483255526539,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.2,14.0,0.0,210.8591695748795
3. Load Profile (No Solar) SuN,9,direct_lgbm_quantile_p50_smoke,8210.52455860001,57.020962291680625,80.5385197635315,-55.93127453409094,37.65799021839246,33.15584828969434,26.60351028755296,79.73771390280562,26.156937939796855,0.4,0.4,0.4000000000000001,3.0,0.0,0.2,8.0,7.0,158.03213703362434
3. Load Profile (No Solar) SuN,9,direct_lgbm_quantile_p80_smoke,8210.52455860001,31.785181450052587,46.325745778555934,-28.314505694726805,20.991684531962864,17.304401840161457,15.615441273424988,45.865122354747214,15.04546719882949,0.3333333333333333,1.0,0.5,0.0,5.0,0.0,14.0,13.0,110.15814459996488
3. Load Profile (No Solar) SuN,9,direct_lgbm_quantile_p90_smoke,8210.52455860001,29.843809129118856,41.34531629997266,-19.98220642753176,19.709556399890868,18.70050694088155,18.140942414916164,40.93421398888231,13.427945730005248,0.6666666666666666,0.8,0.7272727272727272,1.0,0.0,0.8,2.0,1.0,98.00356241628432
3. Load Profile (No Solar) SuN,9,direct_lgbm_md_risk_smoke,8210.52455860001,57.020962291680625,80.5385197635315,-55.93127453409094,37.65799021839246,33.15584828969434,26.60351028755296,79.73771390280562,26.156937939796855,0.35714285714285715,1.0,0.5263157894736842,0.0,1.0,0.6,1.0,7.0,158.03213703362434
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p50_smoke,46.18803960000514,43.766643717375615,59.58858805282061,-43.766643717375615,48.199614919428406,52.37135787848418,38.45914104959295,98.93943191384614,39.73965544243483,0.3125,1.0,0.47619047619047616,0.0,4.0,0.2,8.0,7.0,101.44057520481446
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p80_smoke,46.18803960000514,38.254150379021134,56.43224356325824,-31.240305500585848,42.12878029316905,40.797681435673326,31.264932067055135,93.69871484156239,37.63468792144489,0.0,0.0,0.0,5.0,5.0,0.0,40.0,13.0,45.64114214055543
3. Load Profile (No Solar) SuN,10,direct_lgbm_quantile_p90_smoke,46.18803960000514,40.489337235389975,54.0875112385778,-19.692944347245753,44.59036145634091,42.8816883654124,37.55224060578044,89.80557872650162,36.07098490829505,0.0,0.0,0.0,5.0,7.0,0.0,40.0,8.0,39.10636587142193
3. Load Profile (No Solar) SuN,10,direct_lgbm_md_risk_smoke,46.18803960000514,43.766643717375615,59.58858805282061,-43.766643717375615,48.199614919428406,52.37135787848418,38.45914104959295,98.93943191384614,39.73965544243483,0.38461538461538464,1.0,0.5555555555555556,0.0,4.0,0.4,3.0,7.0,101.44057520481446
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p50_smoke,37.004745699989144,145.44059492716542,194.30374011300472,100.49498740767116,13.658264152962925,14.97972252216564,19.218956370195585,18.167717635624566,13.635350183368752,1.0,1.0,1.0,0.0,0.0,0.8,2.0,1.0,155.28411884255297
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p80_smoke,37.004745699989144,285.8344193038465,353.8171198765707,285.4796046969349,26.8425882389698,25.961326916813565,35.96552665659738,33.08247965185327,24.829271570285666,0.42857142857142855,0.6,0.5,2.0,1.0,0.4,1.0,0.0,37.84820886550119
4. Load Profile (With Solar) Mi2,9,direct_lgbm_quantile_p90_smoke,37.004745699989144,520.5858939568639,569.7797506225595,520.5858939568639,48.8879989629438,41.30013230093392,60.34708941490338,53.275339001641846,39.98454390333751,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.0,37.0,36.0,160.4400606235306
4. Load Profile (With Solar) Mi2,9,direct_lgbm_md_risk_smoke,37.004745699989144,145.44059492716542,194.30374011300472,100.49498740767116,13.658264152962925,14.97972252216564,19.218956370195585,18.167717635624566,13.635350183368752,0.35714285714285715,1.0,0.5263157894736842,0.0,3.0,0.4,1.0,1.0,155.28411884255297
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p50_smoke,38.71464079999714,157.86738950437845,207.83252600321774,134.14933706167088,15.449741464738244,16.38918632458145,20.525458745424515,19.935973717335035,14.89838896080414,0.14285714285714285,0.2,0.16666666666666666,4.0,5.0,0.0,17.0,36.0,156.57819488545806
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p80_smoke,38.71464079999714,330.80275272468884,386.648763857601,328.71663395246907,32.37411489140022,29.827497144238972,40.43666143406448,37.088610441976115,27.71675726577785,0.0,0.0,0.0,5.0,5.0,0.0,18.0,27.0,58.12033774253564
4. Load Profile (With Solar) Mi2,10,direct_lgbm_quantile_p90_smoke,38.71464079999714,557.530044909172,595.8506412294165,557.530044909172,54.56285227565449,44.60354923205421,64.47778597496242,57.155936808577124,42.713307615011935,0.10416666666666667,1.0,0.18867924528301885,0.0,35.0,0.0,6.0,5.0,184.34254490917215
4. Load Profile (With Solar) Mi2,10,direct_lgbm_md_risk_smoke,38.71464079999714,157.86738950437845,207.83252600321774,134.14933706167088,15.449741464738244,16.38918632458145,20.525458745424515,19.935973717335035,14.89838896080414,0.07692307692307693,0.2,0.1111111111111111,4.0,9.0,0.0,16.0,36.0,156.57819488545806
